7.084845751523971558e-02,-1.597246825695037842e-01,-5.548414587974548340e-02,1.754043400287628174e-01,1.381957828998565674e-01,-4.290928691625595093e-02,-1.944721490144729614e-01,1.368279755115509033e-01,-2.153726816177368164e-01,-5.291184410452842712e-02,-1.757864095270633698e-02,9.751453995704650879e-02,3.050695359706878662e-02,1.802216321229934692e-01
7.471814006567001343e-02,-1.643612682819366455e-01,-6.959719210863113403e-02,1.700769960880279541e-01,1.392061412334442139e-01,-4.391244798898696899e-02,-1.936093866825103760e-01,1.337879002094268799e-01,-2.170549631118774414e-01,-5.460939928889274597e-02,-2.346163429319858551e-02,9.828139096498489380e-02,2.938881516456604004e-02,1.924117952585220337e-01
7.471760362386703491e-02,-1.643623113632202148e-01,-6.959663331508636475e-02,1.700752675533294678e-01,1.392067372798919678e-01,-4.391356557607650757e-02,-1.936078965663909912e-01,1.337878406047821045e-01,-2.170539647340774536e-01,-5.460986122488975525e-02,-2.346223033964633942e-02,9.828174114227294922e-02,2.938756346702575684e-02,1.924152821302413940e-01
7.471720129251480103e-02,-1.643630564212799072e-01,-6.959619373083114624e-02,1.700739264488220215e-01,1.392071247100830078e-01,-4.391441494226455688e-02,-1.936067938804626465e-01,1.337877810001373291e-01,-2.170532643795013428e-01,-5.461026355624198914e-02,-2.346264757215976715e-02,9.828197956085205078e-02,2.938659489154815674e-02,1.924179494380950928e-01
7.471715658903121948e-02,-1.643632352352142334e-01,-6.959608197212219238e-02,1.700736880302429199e-01,1.392072141170501709e-01,-4.391457885503768921e-02,-1.936065852642059326e-01,1.337877810001373291e-01,-2.170531153678894043e-01,-5.461030080914497375e-02,-2.346275188028812408e-02,9.828202426433563232e-02,2.938646078109741211e-02,1.924183964729309082e-01
7.471740990877151489e-02,-1.643627285957336426e-01,-6.959636509418487549e-02,1.700745522975921631e-01,1.392069160938262939e-01,-4.391399770975112915e-02,-1.936073303222656250e-01,1.337878108024597168e-01,-2.170535922050476074e-01,-5.461006239056587219e-02,-2.346243895590305328e-02,9.828187525272369385e-02,2.938710153102874756e-02,1.924166232347488403e-01
7.471766322851181030e-02,-1.643621325492858887e-01,-6.959671527147293091e-02,1.700755357742309570e-01,1.392066031694412231e-01,-4.391338676214218140e-02,-1.936081349849700928e-01,1.337878704071044922e-01,-2.170541435480117798e-01,-5.460980162024497986e-02,-2.346212603151798248e-02,9.828169643878936768e-02,2.938778698444366455e-02,1.924147307872772217e-01
7.471790164709091187e-02,-1.643616855144500732e-01,-6.959696114063262939e-02,1.700762212276458740e-01,1.392063796520233154e-01,-4.391290992498397827e-02,-1.936087906360626221e-01,1.337879002094268799e-01,-2.170545160770416260e-01,-5.460959300398826599e-02,-2.346187271177768707e-02,9.828154742717742920e-02,2.938833832740783691e-02,1.924132257699966431e-01
7.471814006567001343e-02,-1.643613576889038086e-01,-6.959713250398635864e-02,1.700767278671264648e-01,1.392061710357666016e-01,-4.391259700059890747e-02,-1.936092227697372437e-01,1.337879002094268799e-01,-2.170548141002655029e-01,-5.460942164063453674e-02,-2.346167899668216705e-02,9.828142821788787842e-02,2.938869595527648926e-02,1.924121677875518799e-01
7.471806555986404419e-02,-1.643613874912261963e-01,-6.959711015224456787e-02,1.700766980648040771e-01,1.392062008380889893e-01,-4.391262680292129517e-02,-1.936091482639312744e-01,1.337878853082656860e-01,-2.170547842979431152e-01,-5.460945144295692444e-02,-2.346172370016574860e-02,9.828145802021026611e-02,2.938866615295410156e-02,1.924123167991638184e-01
7.471808046102523804e-02,-1.643613874912261963e-01,-6.959713995456695557e-02,1.700767278671264648e-01,1.392061859369277954e-01,-4.391262680292129517e-02,-1.936092078685760498e-01,1.337879002094268799e-01,-2.170548290014266968e-01,-5.460945144295692444e-02,-2.346169389784336090e-02,9.828144311904907227e-02,2.938869595527648926e-02,1.924122273921966553e-01
7.471815496683120728e-02,-1.643612980842590332e-01,-6.959716975688934326e-02,1.700768768787384033e-01,1.392061710357666016e-01,-4.391246289014816284e-02,-1.936093121767044067e-01,1.337879002094268799e-01,-2.170549184083938599e-01,-5.460940673947334290e-02,-2.346164919435977936e-02,9.828142821788787842e-02,2.938878536224365234e-02,1.924119293689727783e-01
7.471816986799240112e-02,-1.643611788749694824e-01,-6.959724426269531250e-02,1.700771450996398926e-01,1.392060816287994385e-01,-4.391237348318099976e-02,-1.936094909906387329e-01,1.337879151105880737e-01,-2.170550227165222168e-01,-5.460931733250617981e-02,-2.346160449087619781e-02,9.828135371208190918e-02,2.938896417617797852e-02,1.924115419387817383e-01
7.471824437379837036e-02,-1.643610596656799316e-01,-6.959731131792068481e-02,1.700772941112518311e-01,1.392060369253158569e-01,-4.391223937273025513e-02,-1.936096251010894775e-01,1.337879002094268799e-01,-2.170551419258117676e-01,-5.460927262902259827e-02,-2.346152998507022858e-02,9.828132390975952148e-02,2.938905358314514160e-02,1.924111694097518921e-01
7.471825927495956421e-02,-1.643610298633575439e-01,-6.959730386734008789e-02,1.700773835182189941e-01,1.392059922218322754e-01,-4.391225427389144897e-02,-1.936096847057342529e-01,1.337879300117492676e-01,-2.170551568269729614e-01,-5.460925772786140442e-02,-2.346151508390903473e-02,9.828132390975952148e-02,2.938912808895111084e-02,1.924110502004623413e-01
7.471825927495956421e-02,-1.643610298633575439e-01,-6.959731876850128174e-02,1.700773537158966064e-01,1.392059922218322754e-01,-4.391220957040786743e-02,-1.936097145080566406e-01,1.337879300117492676e-01,-2.170551568269729614e-01,-5.460926517844200134e-02,-2.346150018274784088e-02,9.828130900859832764e-02,2.938914299011230469e-02,1.924109607934951782e-01
7.471824437379837036e-02,-1.643609702587127686e-01,-6.959732621908187866e-02,1.700774431228637695e-01,1.392059624195098877e-01,-4.391217976808547974e-02,-1.936097890138626099e-01,1.337879300117492676e-01,-2.170551717281341553e-01,-5.460923537611961365e-02,-2.346150018274784088e-02,9.828130900859832764e-02,2.938920259475708008e-02,1.924108564853668213e-01
7.471821457147598267e-02,-1.643609702587127686e-01,-6.959734857082366943e-02,1.700774729251861572e-01,1.392059624195098877e-01,-4.391214996576309204e-02,-1.936097741127014160e-01,1.337879747152328491e-01,-2.170552313327789307e-01,-5.460927262902259827e-02,-2.346145547926425934e-02,9.828130900859832764e-02,2.938918769359588623e-02,1.924108266830444336e-01
7.471819967031478882e-02,-1.643609404563903809e-01,-6.959725171327590942e-02,1.700775027275085449e-01,1.392059326171875000e-01,-4.391216486692428589e-02,-1.936097443103790283e-01,1.337880194187164307e-01,-2.170552015304565430e-01,-5.460925027728080750e-02,-2.346142567694187164e-02,9.828127920627593994e-02,2.938920259475708008e-02,1.924108266830444336e-01
7.471811026334762573e-02,-1.643609404563903809e-01,-6.959706544876098633e-02,1.700774431228637695e-01,1.392058730125427246e-01,-4.391217976808547974e-02,-1.936096400022506714e-01,1.337880790233612061e-01,-2.170552313327789307e-01,-5.460924282670021057e-02,-2.346135117113590240e-02,9.828123450279235840e-02,2.938918769359588623e-02,1.924109011888504028e-01
