temperature,best_step,ssim_before,ssim_after,improvement,rmse_before,rmse_after,correlation_before,correlation_after,distorted_s1,corrected_s1,zernikes
24C,6,0.2323420095060527,0.2634080662951116,0.03106605678905891,0.6002171630989277,0.47615386707147106,0.11616644777542239,0.20896743493731887,stokes_matrices\24C\24C_S1.npy,results\lab_dataset\24C_corrected_S1.npy,results\lab_dataset\24C_zernike_history.csv
29C,2,0.05520519372096032,0.05776240228726998,0.002557208566309664,0.8302219025456855,0.7745019097236304,-0.07117187173143975,-0.05096175572728795,stokes_matrices\29C\29C_S1.npy,results\lab_dataset\29C_corrected_S1.npy,results\lab_dataset\29C_zernike_history.csv
55C,20,0.11403835483923598,0.144718134064661,0.030679779225425016,0.6989307492385041,0.49271437577736266,-0.01786000617364003,0.029925689086578656,stokes_matrices\55C\55C_S1.npy,results\lab_dataset\55C_corrected_S1.npy,results\lab_dataset\55C_zernike_history.csv
60C,2,0.1337140054067613,0.18182006265583678,0.04810605724907549,0.8696397274558316,0.4943774798296387,-0.02095402008590034,0.10322187446968982,stokes_matrices\60C\60C_S1.npy,results\lab_dataset\60C_corrected_S1.npy,results\lab_dataset\60C_zernike_history.csv
70C,1,0.06580370399377657,0.06693444639121292,0.0011307423974363517,0.7326384857168861,0.5413692882195598,0.06960945592127259,0.06913860434100079,stokes_matrices\70C\70C_S1.npy,results\lab_dataset\70C_corrected_S1.npy,results\lab_dataset\70C_zernike_history.csv
