channel,ssim_before,ssim_after,rmse_before,rmse_after
S0,0.6901108199640934,0.4503012036129335,0.14613441466599267,0.29767003961413085
S1,0.21072635911311063,0.195971476720057,0.9024367751659648,0.7099665777887197
S2,0.10688381032962238,0.12226130873730714,9689561.633801851,9689561.643551016
S3,-0.01007557983134771,0.18885569655962625,132513323.98486263,6526166.7875393
