temperature,best_step,ssim_before,ssim_after,improvement,rmse_before,rmse_after,correlation_before,correlation_after,distorted_s1,corrected_s1,zernikes
24C,2,0.47550294362414836,0.47853251008610953,0.003029566461961175,0.3598640974291958,0.3907554878065379,0.6785921213574929,0.559592416217054,results\alignment\24C_aligned_S1.npy,results\lab_dataset_aligned_specialist_60C\24C_corrected_S1.npy,results\lab_dataset_aligned_specialist_60C\24C_zernike_history.csv
29C,0,0.07898903748122012,0.07898903748122012,0.0,0.8044464056483703,0.8044464056483703,0.08862686933071681,0.08862686933071681,results\alignment\29C_aligned_S1.npy,results\lab_dataset_aligned_specialist_60C\29C_corrected_S1.npy,results\lab_dataset_aligned_specialist_60C\29C_zernike_history.csv
55C,1,0.14781230981622562,0.1666554710799525,0.01884316126372687,0.6901734683928743,0.4997140257740019,0.029807502569160444,0.05651223256879957,results\alignment\55C_aligned_S1.npy,results\lab_dataset_aligned_specialist_60C\55C_corrected_S1.npy,results\lab_dataset_aligned_specialist_60C\55C_zernike_history.csv
60C,12,0.21072635911311063,0.2986383864920114,0.08791202737890078,0.9024367751659648,0.5263901326725853,-0.16264809537585517,0.209108103778216,results\alignment\60C_aligned_S1.npy,results\lab_dataset_aligned_specialist_60C\60C_corrected_S1.npy,results\lab_dataset_aligned_specialist_60C\60C_zernike_history.csv
70C,11,0.06254628622292667,0.06422617005906088,0.0016798838361342106,0.6275047375408409,0.5917072375085571,0.008581932993975612,-0.020187146328256838,results\alignment\70C_aligned_S1.npy,results\lab_dataset_aligned_specialist_60C\70C_corrected_S1.npy,results\lab_dataset_aligned_specialist_60C\70C_zernike_history.csv
