label,shift_y,shift_x,registration_error,diffphase,ssim_before,ssim_after_alignment,alignment_gain
24C,1.7,24.7,0.9999999999989349,-0.006364195921890742,0.2323420095060527,0.47550294362414836,0.24316093411809567
29C,44.95,79.1,0.9999999999998462,-0.0032030297540594174,0.05520519372096032,0.07898903748122012,0.0237838437602598
55C,38.95,20.95,0.9999999999994736,0.0014173252249341762,0.11403835483923598,0.14781230981622562,0.03377395497698964
60C,-63.8,105.25,0.9999999999994602,0.016429010589298604,0.1337140054067613,0.21072635911311063,0.07701235370634935
70C,104.85,89.7,0.9999999999997026,-3.131461862200124,0.06580370399377657,0.06254628622292667,-0.0032574177708498964
